PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hclinic_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
011841,01-DEC-13,30-NOV-14,As Submitted,,FRANKLIN PRIMARY HEALTH CENTER  INC.,1956 DUVAL STREET,,MOBILE,AL,36606,MOBILE
011846,01-OCT-13,30-SEP-14,As Submitted,8,FAMILY ORIENTED PRIMARY H/C,251 N. BAYOU STREET,,MOBILE,AL,36652-2867,MOBILE
011857,01-JAN-14,31-DEC-14,As Submitted,1,BIRMINGHAM HEALTH CARE,712 25TH STREET NORTH,,BIRMINGHAM,AL,35205,JEFFERSON
011870,01-JAN-14,31-DEC-14,As Submitted,2,POARCH BAND OF CREEK INDIANS,5811 JACK SPRINGS ROAD,,ATMORE,AL,36502,ESCAMBIA
011883,01-DEC-12,30-NOV-13,Settled,1,TRI COUNTY MEDICAL CENTER  INC.,316 SOUTH MAIN STREET,,EVERGREEEN,AL,36401,CONECUH
011945,01-MAY-13,30-APR-14,Settled,2,CAPSTONE RURAL HEALTH CENTER,5947 HWY 269,,PARRISH,AL,35580,WALKER
011967,01-FEB-14,31-JAN-15,As Submitted,4,FAMILY HEALTH CARE CLINIC  INC.,1304 13TH AVENUE  SE  SUITE A,,DECATUR,AL,35601,MORGAN
011968,22-MAR-10,31-JAN-11,Settled,4,FAMILY HEALTH CARE CLINIC,926 4TH ST,,RED BAY,AL,35582,FRANKLIN
011973,01-APR-12,30-JUL-12,Settled,4,NORTH EAST REG CARE CTR,309 E 7TH ST,,GADSDEN,AL,359020097,ETOWAH
011976,01-JAN-14,31-DEC-14,As Submitted,1,NEW MARKET CLINIC,110 MARKET STREET,,NEW MARKET,AL,35761,MADISION
011977,29-JUN-11,31-JAN-12,As Submitted,1,CLANTON FAMILY HEALTH CENTER,232 7TH TOWNMART ST,,CLANTON,AL,35045-2324,CHILTON
011978,29-JUN-11,31-JAN-12,Settled,1,ECLECTIC FAMILY HEALTH CENTER,26 MAIN ST,,ECLECTIC,AL,26024-5614,ELMORE
011979,30-JUN-11,31-JAN-12,Settled,1,HAYNEVILLE FAMILY HEALTH CENTER,511 TUSKEENA ST,,HAYNEVILLE,AL,36040-2033,LOWNDES
011980,30-JUN-11,31-JAN-12,Settled,1,THE FAMILY MEDICAL CENTER,8578 US HWY 80 W,,TYLER,AL,36785-5422,LOWNDES
011981,01-JUL-11,31-JAN-12,Settled,4,CHISHOLM FAMILY HEALTH CENTER,100E VANDIVER BLVD,,MONTGOMERY,AL,361070365,MONTGOMERY
011982,01-JUL-11,31-JAN-12,Settled,1,AUTAUGAVILLE FAMILY HEALTH CTR,203 N TAYLOR ST,,AUTAUGAVILLE,AL,36003-2663,AUTAUGAVILLE
011983,01-JAN-14,31-DEC-14,Settled,1,BAYOUCLINIC  INC,13833 TAPIA LANE,,BAYOU LA BATRE  AL 36509,AL,36509,MOBILE
013811,01-JAN-14,31-DEC-14,Settled,4,BHC MUNFORD,48 NORTH CEDARS ROAD,,MUNFORD,AL,36268,TALLADEGA
013845,01-JAN-11,05-JUL-11,Settled,1,BAYOUCLINIC  INC,13833 TAPIA LANE,,BAYOU LA BATRE  AL 36509,AL,36509,MOBILE
013846,01-JAN-14,31-DEC-14,As Submitted,4,CULLMAN INTERNAL MEDICINE,1890 ALABAMA HIGHWAY 157 STE 300,,CULLMAN,AL,35058,CULLMAN
013847,01-JAN-13,31-DEC-13,Settled,5,SYLACAUGA PEDIATRIC CLINIC,115 WEST CLAY ST.,,SYLACAUGA,AL,35150,TALLDEGA
013848,01-JUL-13,30-JUN-14,As Submitted,4,TALLADEGA RHC,320 EAST COOSA STREET,,TALLADEGA,AL,35160,TALLADEGA
013855,01-JUL-13,30-JUN-14,As Submitted,4,LINCOLN RHC,47344 U.S. HIGHWAY 78,,LINCOLN,AL,35096,TALLADEGA
013856,01-APR-13,31-MAR-14,As Submitted,4,FORT PAYNE RHC,415 MEDICAL CENTER DR SW,,FORT PAYNE,AL,35968-8865,DEKALB
013864,01-JAN-14,31-DEC-14,As Submitted,3,PISGAH MEDICAL CLINIC,6110 COUNTY RD 88,,PISGAH,AL,35765,JACKSON
013868,01-JAN-12,29-JUN-12,Settled,4,ALICEVILLE RURAL HEALTH CLINIC,1400 CARROLLTON ROAD,,ALICEVILLE,AL,35442,PICKENS
013873,01-JUL-13,30-JUN-14,As Submitted,4,BHC BLOUNT AND ETOWAH,150 GILBREATH DRIVE  SUITE 201,,ONEONTA,AL,35121,BLOUNT
013876,01-JAN-14,31-DEC-14,As Submitted,4,THREE NOTCH RURAL HEALTH CLINIC,835 S. THREE NOTCH STREET,,ANDALUSIA,AL,36420,COVINGTON
013878,01-JAN-14,31-DEC-14,As Submitted,5,HMC RURAL HEALTH CLINICS - JASPER,PO BOX 1571,,JASPER,AL,35501,WALKER
013884,01-JAN-13,31-DEC-13,Settled,4,COVINGTON PEDIATRICS RURAL HEALTH,614 WEST BYPASS,,ANDULUSIA,AL,36420,COVINGTON
013886,01-APR-13,31-MAR-14,As Submitted,4,CENTRE RHC,395 NORTHWOOD DR,,CENTRE,AL,35960,CHEROKEE
013888,01-JUL-13,30-JUN-14,As Submitted,4,BHC BLOUNT AND ETOWAH,180 MEDICAL STREET,,SNEAD,AL,35952,BLOUNT
013894,01-JAN-14,31-DEC-14,As Submitted,3,GUNTERSVILLE FAMILY PRACTICE CLINIC,1241 BLOUNT AVENUE,,GUNTERSVILLE,AL,35976,MARSHALL
013902,01-OCT-13,30-SEP-14,As Submitted,3,PREFERRED FAMILY HEALTH CARE  LLC,312 SAND MOUNTAIN DRIVE SE,,ALBERTVILLE,AL,35950,MARSHALL
013904,01-JAN-14,31-DEC-14,As Submitted,4,PHIL CAMPBELL MEDICAL CLINIC,P.O BOX 817,,PHIL CAMPBELL,AL,35581,FRANKLIN
013905,01-JAN-13,31-DEC-13,Settled,4,GREENVILLE PEDIATRICS,84 LV STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER
013908,01-JAN-14,31-DEC-14,As Submitted,4,MED-ASSIST,3442 U.S HWY 431,,ALBERTVILLE,AL,35950,MARSHALL
013915,01-JAN-13,31-DEC-13,Settled,6,SOUTHERN FAMILY HEALTH  LLC,201 OLD HIGHWAY 25 EAST,,COLUMBIANA,AL,35051,SHELBY
013917,01-JAN-14,31-DEC-14,Settled,4,MAIN STREET MEDICAL CLINIC LLC,1508 COGSWELL AVE,,PELL CITY,AL,35125,ST. CLAIR
013919,01-JAN-10,30-JUN-10,Settled,6,ATHENS FAMILY CARE LLC,727 WEST MARKET ST,,ATHENS,AL,35613,LIMESTONE
013923,01-JAN-14,31-DEC-14,As Submitted,4,CHATOM PRIMARY CARE  P.C.,653 ST. STEPHENS AVENUE,,CHATOM,AL,36518,WASHINGTON
013924,01-JAN-14,31-DEC-14,As Submitted,3,WINSTON COUNTY MEDICAL CENTER,15341 HWY 278,,DOUBLE SPRINGS,AL,35553,WINSTON
013926,01-APR-14,31-MAR-15,As Submitted,4,IMC FAMILY MEDICAL OF JACKSON,226 HOSPITAL DRIVE,,JACKSON,AL,36545,CLARKE
013928,01-JAN-14,31-DEC-14,Settled,4,MERIT HEALTHCARE  INC.,1229 SOUTH MAIN STREET,,GOODWATER,AL,35072,COOSA
013934,01-APR-09,31-MAR-10,Settled,4,CLARKE COUTNY MEDICAL GROUP  LLC,3050 HIGHWAY 43 NORTH UNIT 134,,THOMASVILLE,AL,36784,CLARKE
013936,01-JAN-14,31-DEC-14,As Submitted,4,MILLPORT FAMILY PRACTICE CLINIC LLC,13530 HWY 96,,MILLPORT,AL,35576,LAMAR
013937,01-JAN-10,31-DEC-10,Settled,11,WEDOWEE HOSPITAL,209 MAIN STREET,,WEDOWEE,AL,36278,RANDOLPH
013938,01-JAN-14,31-DEC-14,As Submitted,4,NABERS FAMILY MEDICAL CLINIC,219 HOSPITAL ROAD,,RED BAY,AL,35582,FRANKLIN
013939,01-JAN-14,31-DEC-14,Settled w/Audit,4,LOWER ALABAMA PEDIATRICS,1205 BELLEVILLE AVE,,BREWTON,AL,36426,ESCAMBIA
013940,01-JAN-10,30-JAN-11,Settled,4,TRICOUNTY FAMILY PRACTICE,149 CHESTNUT STREET,,ROANOKE,AL,36274,RANDOLPH
013941,01-JAN-12,30-JUN-12,Settled,3,ATMORE FAMILY MEDICINE,402 MEDICAL PARK DRIVE,,ATMORE,AL,36502,ESCAMBIA
013942,01-JUL-12,30-JUN-13,Settled,3,SCOTTSBORO QUICK CARE CLINICS INC.,1508 S BROAD STREET,,SCOTTSBORO,AL,35768-2667,JACKSON
013943,01-JUL-13,30-JUN-14,Settled,6,BHC TALLADEGA PEDIATRICS,722 STONE AVENUE,,TALLADEGA,AL,35160-2219,TALLADEGA
013944,01-JAN-11,30-JUN-11,Settled,2,GRAND BAY MEDICAL CENTER,10075 GRAND BAY WILMER ROAD SOUTH,,GRAND BAY,AL,36541,MOBILE
013945,01-JAN-13,31-DEC-13,Settled,4,SMITH LAKE URGENT CARE  LLC,1280 SUMMIT DRIVE,,JASPER,AL,35501-0102,WALKER
013946,01-JAN-11,31-DEC-11,Settled,4,BOYDE J. HARRISON MD PC,904 26TH STREET,,HALEYVILLE,AL,35565,WINSTON
013947,01-JAN-14,31-DEC-14,As Submitted,4,ARAB FAMILY HEALTHCARE  LLC,121 GOLFVIEW DRIVE,,ARAB,AL,37183,MARSHALL
013948,01-JAN-12,15-AUG-12,Settled,4,CAHABA MEDICAL CARE  PC,195 HOSPITAL DRIVE,,CENTREVILLE,AL,35042,BIBB
013951,01-JUL-12,30-JUN-13,Settled,4,TALLADEGA PRIMARY & URGENT CARE CTR,803 NORTH EAST STREET,,TALLADEGA,AL,35160,TALLADEGA
013953,01-JUL-13,30-JUN-14,As Submitted,1,WOODLAND FAMILY HEALTHCARE,76 COUNTY ROAD 64  SUITE 3,,WOODLAND,AL,36280,RANDOLPH
013954,01-JAN-14,31-DEC-14,As Submitted,4,HUEY R. KIDD  D.O. PC,218 MAIN STREET,,FULTON,AL,36446,CLARKE
013955,01-JAN-13,31-DEC-13,Settled,4,LAKESHORE PEDIATRICS RHC,603 GRANDY STREET NE,,RUSSELLVILLE,AL,35653,FRANKLIN
013956,01-JAN-14,31-DEC-14,Settled,4,VALLEY HEAD CLINIC  LLC,506 HARLEY STREET,,SCOTTSBORO,AL,35768,JACKSON
013957,01-JAN-14,31-DEC-14,As Submitted,4,PREMIER FAMILY CARE LLC,2017 OBRIG AVENUE,,GUNTERSVILLE,AL,35976,MARSHALL
013958,01-JAN-13,31-DEC-13,Settled,4,CENTRAL PEDIATRICS  INC,707 US HIGHWAY 31 S,,ATHENS,AL,35611-3620,LIMESTONE
013959,01-JAN-14,31-DEC-14,As Submitted,3,FAMILY HEALTH CLINIC OF UNION SPRING,309 PRAIRIE STREET  NORTH,,UNION SPRINGS,AL,36089,BULLOCK
013960,01-JAN-13,31-DEC-13,Settled,,WETUMPKA FAMILY CLINIC,500 HOSPITAL DRIVE,,WETUMPKA,AL,36092-1625,ELMORE
013961,01-JUL-12,30-JUN-13,Settled,4,TALLADAGA FAMILY,101 STEPHEN J WHITE MEMORIAL BLVD.,,TALLADEGA,AL,35160-2106,TALLADEGA
013962,01-JAN-13,31-DEC-13,Settled,6,FORT MITCHELL CLINIC  PC,2 GILMORE ROAD,,FT MITCHELL,AL,36856-4411,RUSSELL
013963,01-JAN-13,31-DEC-13,Settled,6,MILLRY PEDISTRICS CLINIC  LLC,75 5TH AVE,,MILLRY,AL,36558,WASHINGTON
013964,01-JUL-13,30-JUN-14,As Submitted,2,ROANOKE RURAL HEALTH CLINIC,901 LEIGHTON AVE,,ANNISTON,AL,36202,RANDOLPH
013965,01-JAN-14,31-DEC-14,As Submitted,4,MEDICAL EAST OF DECATUR,2941 POINT MALLARD PARKWAY,,DECATUR,AL,35603-5716,MORGAN
013966,01-JAN-14,31-DEC-14,Settled,,SOUTH ALABAMA MEDICAL CLINIC  LLC,10075 GRAND BAY WILMER ROAD S,,GRAND BAY,AL,36541-5003,MOBILE
013969,01-JAN-13,31-DEC-13,Settled,5,NC HEALTH CARE CLINIC  LLC,68 MARCO DRIVE,,DECATUR,AL,35603,MORGAN
013970,01-MAY-13,30-APR-14,As Submitted,4,SULLIGENT MEDICAL CLINIC,478 ELM STREET,,SULLIGENT,AL,35586,LAMAR
013971,04-JAN-13,31-DEC-13,Settled,4,EPEDIATRICS AND FAMILY CARE CLINIC,299 PAIRIE N ST,,UNION SPRINGS,AL,36089-1618,BULLOCK
013973,01-JAN-14,31-DEC-14,As Submitted,4,PHYSICIANS CARE OF SWEET WATER  LLC,31431 ALABAMA HIGHWAY 10,,SWEET WATER,AL,36782,MARENGO
013974,07-MAY-13,31-DEC-13,Settled,,SHOALS PRIMARY CARE  LLC LEIGHTON,1960 1ST STREET,,LEIGHTON,AL,35646,COLBERT
018900,01-JAN-14,31-DEC-14,Settled,4,HORIZON MEDICAL CLINIC  LLC,105 FIRE STATION ROAD,,BAILEYTON,AL,35019,CULLMAN
018901,01-JAN-14,31-DEC-14,As Submitted,4,MIDWAY MEDICAL CLINIC  LLC,111 BROOKLYN ROAD,,HOLLY POND,AL,35083,CULLMAN
018902,01-JAN-14,31-DEC-14,Settled,4,HORIZON HEALTHCARE  LLC,126 COMMERCE AVENUE,,VALLEY HEAD,AL,35989,DEKALB
018903,01-AUG-13,31-DEC-13,Settled,6,PEDIATRIC CARE CENTER OF NE ALABAMA,304 EAST 4TH STREET,,ANNISTON,AL,36207-6012,TALLEDEGA
018904,06-AUG-13,30-JUN-14,Amended,,TANNER PRIMARY CARE OF WEDOWEE,1030 SOUTH MAIN STREET,,WEDOWEE,AL,36278-7179,RANDOLPH
018905,01-JAN-14,31-DEC-14,Settled,4,FALKVILLE MEDICAL CLINIC  LLC,434 EAST PIKE ROAD,,FALKVILLE,AL,35622,MORGAN
018906,09-AUG-13,31-DEC-13,Settled,4,PREMIER MEDICAL CLINIC  LLC,503 BURLINGTON STREET,,SCOTTSBORO,AL,35768,JACKSON
018907,01-JAN-14,31-DEC-14,Settled,4,SOUTHVIEW MEDICAL CLINIC  LLC,222 ARKADELPHIA ROAD  NE,,HANCEVILLE,AL,35077,CULLMAN
018908,27-JAN-14,31-DEC-14,Settled,4,TANNER MEDICAL CLINIC,20104 SWANNER BLVD,,TANNER,AL,35671,FRANKLIN
018911,23-JAN-14,30-JUN-14,Settled,4,BHC-WALKER PRIMARY CARE,3400 HIGHWAY 78 EAST SUITE 321,,JASPER,AL,35501-8951,WALKER
018912,05-MAR-14,30-JUN-14,Settled,4,BHC TALLADEGA OB/GYN,724 STONE AVENUE,,TALLADEGA,AL,35160-2219,TALLADEGA
018913,16-MAY-14,31-DEC-14,Settled,4,FAMILY CARE FIRST  INC.,11809 AL HWY 157  SUITE E,,MOULTON,AL,35650-2708,LAWRENCE
018914,15-MAY-14,31-DEC-14,Settled,4,FAMILY CARE FIRST  INC.,1023 HIGHWAY 13,,HALEYVILLE,AL,35565-1638,WINSTON
021808,01-JUL-13,30-JUN-14,As Submitted,1,ANCHORAGE NEIGHBORHOOD HEALTH CNT,4951 BUSINESS PARK BLVD,,ANCHORAGE,AK,99503,ANCHORAGE
021810,01-JUL-13,30-JUN-14,Settled,1,INTERIOR COMMUNITY HEALTH CENTER,1606 23RD AVENUE,,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR BOROUGH
021816,01-JUL-13,30-JUN-14,As Submitted,1,SUNSHINE COMMUNITY HEALTH CENTER INC,MILE 4.4 TALKEETNA SPUR ROAD,,TALKEETNA,AK,99676-9701,MATANUSKA-SUSITNA BOROUGH
021819,01-JAN-14,31-DEC-14,As Submitted,1,PENINSULA COMMUNITY HEALTH SERVICE,230 EAST MARYDALE AVENUE,,SOLDOTNA,AK,99669,KENAI PENINSULA BOROUGH
021820,01-APR-14,31-MAR-15,As Submitted,1,CROSS ROAD MEDICAL CENTER,MILE 187 GLENN HIGHWAY,,GLENNALLEN,AK,99588,VALDEZ-CORDOVA CENSUS BOROUGH
021822,01-JAN-14,31-DEC-14,As Submitted,,KODIAK COMMUNITY HEALTH CENTER,1922 E REZANOF DRVIE,,KODIAK,AK,99615,KODIAK ISLAND
021823,01-JUL-13,30-JUN-14,As Submitted,1,ILIULIUK FAMILY & HEALTH SERVICES,34 LAVALLE CT,,UNALASKA,AK,99685,ALEUTIANS WEST
021824,01-JUL-13,30-JUN-14,As Submitted,2,ALASKA ISLAND COMMUNITY SERVICES,320 BENNETT STREET,,WRANGELL,AK,99929-1231,WRANGELL-PETERSBURG
021831,01-JUL-13,30-JUN-14,As Submitted,1,MAT-SU HEALTH SERVICES,1363 WEST SPRUCE AVENUE,,WASILLA,AK,99654,MATANUSKA-SUSITNA BOROUGH
021833,01-JAN-14,31-DEC-14,Settled,2,WHITTIER MEDICAL CLINIC,100 KENAI STREET APT 301,,WHITTIER,AK,99693,VALDEZ CORDOVA
021835,01-JAN-14,31-DEC-14,As Submitted,2,BETHEL FAMILY CLINIC,631 MAIN & 4TH STREETS,,BETHEL,AK,99559-1908,BETHEL CENSUS AREA
021836,01-JUL-13,30-JUN-14,As Submitted,1,MUNICIPALITY OF SKAGWAY,350 14TH AVENUE,,SKAGWAY,AK,99840-0537,SKAGWAY HOONAH ANGOON
021838,01-JAN-12,31-DEC-12,Settled,1,YAKUTAT COMMUNITY HEALTH CENTER,712 OCEAN CAPE ROAD,,YAKUTAT,AK,99689,RURAL
021839,01-JUL-13,30-JUN-14,Settled,1,CAMAI COMMUNITY HEALTH CENTER  INC.,2 SCHOOL ROAD,,NAKNEK,AK,99633,BRISTOL BAY BOROUGH
021844,05-FEB-14,31-DEC-14,As Submitted,2,SEWARD COMMUNITY HEALTH CENTER,417 FIRST STREET  SUITE 2895,,SEWARD,AK,99664,KENAI PENINSULA BOROUGH
031800,01-DEC-13,30-NOV-14,As Submitted,4,ADELLANTE HEALTHCARE  INC.,9520 WEST PALM LANE  SUITE 200,,PHOENIX,AZ,85037,MARICOPA
031801,01-JAN-14,31-DEC-14,As Submitted,1,EL RIO SANTA CRUZ  N.H.C.  INC,P.O. BOX 1231,,TUCSON,AZ,85702,PIMA
031802,01-FEB-14,31-JAN-15,As Submitted,1,CONTINENTAL FAMILY MEDICAL CENTER,1260 S. CAMPBELL ROAD,,GREEN VALLEY,AZ,85614-0503,PIMA
031805,01-JAN-14,31-DEC-14,As Submitted,1,SUNSET COMMUNITY HEALTH CENTER  INC.,115 N SOMERTON AVE,,SOMERTON,AZ,85350,YUMA
031809,01-JUN-13,31-MAY-14,Settled,4,FAMILY HEALTH CENTER,101 TAYLOR AVE,,PATAGONIA,AZ,85624,SANTA CRUZ
031810,01-DEC-13,30-NOV-14,As Submitted,1,MOUNTAIN PARK HEALTH CENTER,2702 N 3RD STREET  SUITE 4020,,PHOENIX,AZ,85004,MARICOPA
031811,01-JUN-13,31-MAY-14,Settled,1,CANYONLANDS COMMUNITY HEALTH CARE,467 VISTA AVENUE,,PAGE,AZ,86040,COCONINO
031813,01-JUN-13,31-MAY-14,Settled,,SUN LIFE FAMILY HEALTH CENTER INC,865 N ARIZOLA ROAD,,CASA GRANDE,AZ,85122,PINAL
031825,01-OCT-13,30-SEP-14,Settled,2,NATIVE AMERICAN COMMUNITY HEALTH,3008 NORTH 3RD STREET SUITE 310,,PHOENIX,AZ,85012,MARICOPA
031826,01-JUL-13,30-JUN-14,Settled,1,NORTH COUNTRY HEALTHCARE,2920 N FOURTH ST,,FLAGSTAFF,AZ,86004,COCONINO
031831,01-MAR-14,28-FEB-15,As Submitted,2,AJO COMMUNITY HEALTH CENTER,410 MALACATE STREET,,AJO,AZ,85321,PIMA
031837,01-JUL-13,30-JUN-14,Settled,1,MARANA HEALTH CENTER  INC.,13395 N MARANA MAIN STREET,,MARANA,AZ,85653,PIMA
031838,01-JUL-13,30-JUN-14,Settled,9,YAVAPAI CO COMMUNITY HEALTH SERVICES,1090 COMMERCE DRIVE,,PRESCOTT,AZ,86305-3700,YAVAPAI
031876,01-JUL-12,30-JUN-13,Settled,1,WESLEY COMMUNITY CENTER INC,1300 S 10TH STREET,,PHOENIX,AZ,85034-4516,MARICOPA
031902,01-JAN-14,31-DEC-14,As Submitted,1,NEIGHBORHOOD OUTREACH ACCESS TO HEAL,7301 EAST 2ND STREET,,SCOTTSDALE,AZ,85251,MARICOPA
031910,01-JAN-14,31-DEC-14,As Submitted,1,NATIVE AMERICANS FOR COMM ACTION,1500 EAST CEDAR AVENUE  SUITE 26,,FLAGSTAFF,AZ,86004,COCONINO
033831,01-JUL-13,30-JUN-14,Settled,2,REGIONAL CENTER FOR BORDER HEALTH,1896 E BABBITT LANE SUITE D,,SAN LUIS,AZ,85349,YUMA
033833,01-JAN-12,31-DEC-12,Settled,4,RIGHTWAY HEALTHCARE  LLC,1864 EAST FLORENCE BLVD.  SUITE 2,,CASA GRANDE,AZ,85222,PINAL
041801,01-DEC-13,30-NOV-14,As Submitted,1,LEE COUNTY COOPERATIVE CLINIC,530 WEST ATKINS BLVD,,MARIANNA,AR,72355,LEE
041804,01-DEC-13,30-NOV-14,As Submitted,1,EAST ARKANSAS FAMILY HEALTH CENTER,900 N 7TH STREET,,WEST MEMPHIS,AR,73201,CRITTENDEN
041805,01-FEB-14,31-JAN-15,As Submitted,1,PORTLAND HEALTHCARE CENTER,233 NORTH MAIN,,PORTLAND,AR,71663,ASHLEY
041810,01-JUN-13,31-MAY-14,Settled,1,MID-DELTA HEALTH SYSTEMS  INC.,401 MIDLAND,,CLARENDON,AR,72029,MONROE
041812,01-JAN-14,31-DEC-14,As Submitted,2,ARCARE 40,100 E FRONT STREET,,HAZEN,AR,72064,PRAIRIE
041818,01-JUN-13,31-MAY-14,Settled,1,JEFFERSON COMPREHENSIVE CARE SYSTEM,1101 TENNESSEE STREET,,PINE BLUFF,AR,71613,JEFFERSON
041823,01-APR-14,31-MAR-15,As Submitted,2,CABUN RURAL HEALTH,SECOND AND SCHOOL STREETS,,BEARDEN,AR,71720,QUACHITA
041832,01-JUL-13,30-JUN-14,As Submitted,1,1ST CHOICE HEALTHCARE  INC.,1300 CREASON ROAD,,CORNING,AR,72422,CLAY
041833,01-JAN-14,31-DEC-14,As Submitted,1,BOSTON MOUNTAIN RURAL HEALTH CENTER,HWY 27 SOUTH,,MARSHALL,AR,72650,SEARCY
041850,01-JAN-14,31-DEC-14,As Submitted,,HEALTHY CONNECTIONS INC,136 HEALTH PARK DRIVE,,MENA,AR,71953,POLK
041855,01-DEC-13,30-NOV-14,As Submitted,2,RIVER VALLEY PRIMARY CARE SERVICES,9755 WEST STATE HIGHWAY 22,,RATCLIFF,AR,72951,LOGAN
041858,01-JAN-14,31-DEC-14,As Submitted,2,ST FRANCIS HOUS NWA,614 E. EMMA AVE  STE 300,,SPRINGDALE,AR,72764,WASHINGTON
041883,06-DEC-12,31-DEC-13,As Submitted,1,COSSATOT COMMUNITY HEALTH CLINIC,183 COLLEGE DRIVE,,DEQUEEN,AR,71832,SEVIER COUNTY
041889,17-DEC-12,31-DEC-13,As Submitted,2,ARCARE 100,90 ALMEDIA ST,,MELBOURNE,AR,72556,IZARD
041890,26-APR-13,31-DEC-13,As Submitted,,ACORN WELLNESS CLINIC,139 SCHOOL LANE,,MENA,AR,71832,POLK
041892,15-NOV-13,30-NOV-14,As Submitted,2,LAMAR SCHOOL DISTRICT HEALTH CENTER,635 CHILDERS STREET,,LAMAR,AR,72846,JOHNSON
041895,22-APR-14,30-JUN-14,As Submitted,1,1ST CHOICE HEALTHCARE  INC.,308 HWY  62 W,,ASH FLAT,AR,72513,SHARP
043802,01-JUL-13,30-JUN-14,As Submitted,1,ST. ELIZABETH HEALTH CENTER,407 SOUTH GOULD AVENUE,,GOULD,AR,71643,LINCOLN
043804,01-JAN-13,31-AUG-13,Settled,4,ASHABRANNER RURAL HEALTH CLINIC,106 SO. 7 TH. ST.,,HEBER SPRINGS,AR,72543,CLEBURNE
043812,01-JAN-14,31-DEC-14,As Submitted,4,DECATUR MEDI CLINIC,346 N MAIN ST,,DECATUR,AR,72722,BENTON
043816,01-JAN-11,31-DEC-11,Settled,5,HAMBURG HEALTH CLINIC  LLP,319 WEST PARKER,,HAMBURG,AR,71646,ASHLEY
