PROVIDER_NUMBER,FQHC14_Name,Street_Addr,PO_Box,City,State,Zip_Code,County
021808,ANCHORAGE NEIGHBORHOOD HEALTH CNT,4951 BUSINESS PARK BLVD,,ANCHORAGE,AK,99503,ANCHORAGE
021810,INTERIOR COMMUNITY HEALTH CENTER,1606 23RD AVENUE,,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR
021816,SUNSHINE COMMUNITY HEALTH CENTER IN,MILE 4.4 TALKEETNA SPUR RD,HC89 BOX 8190,TALKEETNA,AK,99676-9701,MATANUSKA-SUSITNA BOROUGH
021819,PENINSULA COMMUNITY HEALTH SERVICE,230 E MARYDALE AVE,2949,SOLDOTNA,AK,99669,KENAI PENINSULA BOROUGH
021820,CROSS ROAD MEDICAL CENTER,MILE 187 GLENN HIGHWAY,,GLENNALLEN,AK,99588,VALDEZ-CORDOVA CENSUS BUROUGH
021822,KODIAK COMMUNITY HEALTH CENTER,1911 REZANOF DRIVE,,KODIAK,AK,99615,KODIAK ISLAND
021823,ILIULIUK FAMILY AND HEALTH SERVICES,34 LAVELLE COURT,,UNALASKA,AK,99685,
021824,ALASKA ISLAND COMMUNITY SERVICES,320 BENNETT STREET,,WRANGELL,AK,99929,WRANGELL-PETERSBURG
021831,MAT-SU HEALTH SERVICES,1363 WEST SPRUCE AVENUE,,WASILLA,AK,99654,MATANUSKA-SUSITNA BOROUGH
021833,WHITTIER MEDICAL CLINIC,3380 C STREET STE 100,,ANCHORAGE,AK,99503,VALDEZ CORDOVA
021835,BETHEL FAMILY CLINIC,631 MAIN & 4TH STREETS,1908,BETHEL,AK,99559-1908,BETHEL CENSUS AREA
021836,MUNICIPALITY OF SKAGWAY,350 14TH AVENUE,,SKAGWAY,AK,99840-0537,SKAGWAY HOONAH ANGOON
021839,CAMAI COMMUNITY HEALTH CENTER  INC.,2 SCHOOL  ROAD,211,NAKNEK,AK,99633,BRISTOL BAY BOROUGH
021841,AICS MEDICAL CLINIC,232 WOOD STREET,,WRANGELL,AK,99929,WRANGELL-PETERSBURG
021844,SEWARD COMMUNITY HEALTH CENTER,417 1ST STREET,2895,SEWARD,AK,99664,KENAI PENINSULA BOROUGH
021845,FRONT STREET HEALTH CENTER,25 FRONT STREET SUITE 202,,JUNEAU,AK,98801,JUENEAU
021846,INTERIOR ALASKA MEDICAL CLINIC,2730 ALASKA HIGHWAY,,DELTA JUNCTION,AK,99737,SOUTHEAST FAIRBANKS CENSUS AREA
021847,MAT - SU HEALTH SERVICES INC,1775 W PARKS HWY,,WASILLA,AK,99654-6935,MATANUSKA - SUSITNA BOROUGH
021848,GIRDWOOD HEALTH CLINIC  INC.,131 LINDBLAD AVE.,1130,GIRDWOOD,AK,99587,GREATER ANCHORAGE AREA BOROUGH
021849,PUNINSULA COMMUNITY HEALTH SERVICES,805 FRONTAGE RD STE 130,,KENAI,AK,99611 9122,KENAI PENINSULA BOROUGH
021850,SOUTHEAST ALASKA REGIONAL HEALTH CON,110 LYNCH STATE,,WRANGELL,AK,99929,WRANGELL
021851,SUVALLEY JR/SR HIGH SCHOOL,42728 S PARKS HIGHWAY,,TALKEETNA,AK,99676,MATANUSKA-SUSITNA BOROUGH
021852,TALKEETNA ELEMENTARY SCHOOL,13930 E TIMBERWOLF LOOP,,TALKEETNA,AK,99676-9999,MATANUSKA-SUSTINA BOROUGH
021853,MAT-SU HEALTH SERVICES- BIG LAKE,3261 S BIG LAKE RD  STE F,,BIG LAKE,AK,99652,MATANUSKA-SUSITNA
031800,ADELANTE HEALTHCARE SURPRISE,15351 W. BELL RD.,,SURPRISE,AZ,85374-4580,MARICOPA
031801,EL RIO SANTA CRUZ NEIGHBORHOOD HEALT,839 WEST CONGRESS STREET,,TUCSON,AZ,85745,PIMA
031802,CONTINENTAL FAMILY MEDICAL CENTER,1260 S. CAMPBELL ROAD  BLDG 1,,GREEN VALLEY,AZ,85614-0503,PIMA
031805,SUNSET COMMUNITY HEALTH CENTER  INC.,115 N. SOMERTON AVE,,SOMERTON,AZ,85350,YUMA
031809,FAMILY HEALTH CENTER,101 TAYLOR AVE,,PATAGONIA,AZ,85624,SANTA CRUZ
031810,MOUNTAIN PARK HEALTH CENTER,2702 N 3RD STREET  SUITE 4020,,PHOENIX,AZ,85004,MARICOPA
031811,CANYONLANDS COMMUNITY HEALTH CARE,467 VISTA AVENUE,,PAGE,AZ,86040,COCONINO
031813,SUN LIFE FAMILY HEALTH CENTER  INC.,865 N ARIZOLA ROAD,,CASA GRANDE,AZ,85122,PINAL
031826,NORTH COUNTRY HEALTHCARE,2920 N 4TH STREET,,FLAGSTAFF,AZ,86004,COCONINO
031831,AJO COMMUNITY HEALTH CENTER,410 MALACATE STREET,,AJO,AZ,85321,PIMA
031837,MARANA HEALTH CENTER  INC.,13395 N MARANA MAIN STREET,188,MARANA,AZ,85653,PIMA
031838,YAVAPAI CO COMMUNITY HEALTH SERVICES,1090 COMMERCE DRIVE,,PRESCOTT,AZ,86305,YAVAPAI
031876,WESLEY COMMUNITY AND HEALTHCENTER,1300 SOUTH 10TH STREET,,PHOENIX,AZ,85034,MARICOPA
031902,NEIGHBORHOOD OUTREACH ACCESS TO HLTH,7301 EAST 2ND STREET  STE 210,,SCOTTSDALE,AZ,85251,MARICOPA
031910,NATIVE AMERICANS FOR COMMUNITY ACTIO,1500 EAST CEDAR AVENUE  STE 26,,FLAGSTAFF,AZ,86004,COCONINO
031912,HORIZON HEALTH AND WELLNESS,625 N PLAZA DRIVE,,APACHE JUNCTION,AZ,85120,PINAL
031920,CANYONLANDS COMM HEALTH CARE-CLIFTO,10-A WARD CANYON ROAD,,CLIFTON,AZ,85533,GREENLEE
031921,VALLE DEL SOL INC,3807 N 7TH ST,,PHOENIX,AZ,85014,MARICOPA
031923,TERROS GLENDARE CARE CLINIC,6153 W OLIVE AVENUE,,PHOENIX,AZ,85302,MARICOPA COUNTY
031924,ST ELIZABETHS HEALTH CENTER,140 W SPEEEDWAY BLVD SUITE 100,,TUCSON,AZ,85705,PIMA
031925,CIRCLE THE CITY MEDICAL RESPITE,333 WEST INDIAN SCHOOL ROAD,,PHOENIX,AZ,85013-3205,MARICOPA
031926,CIRCLE THE CITY (PARSONS),3522 NORTH 3RD AVENUE,,PHOENIX,AZ,85013,MARICOPA
031931,WESLEY COMMUNITY AND HEALTHCENTER,1300 SOUTH 10TH STREET,,PHOENIX,AZ,85034,MARICOPA
031932,DESERT MISSION,9201 N 5TH ST,,PHOENIX,AZ,85020-2532,MARICOPA
031933,SUN LIFE FAMILY HEALTH CENTER  INC.,174 W HIGHWAY 287,,FLORENCE,AZ,85132,PINAL
031934,TERROS N 27TH AVENUE,3864 N 27TH AVENUE,,PHOENIX,AZ,85017,MARICOPA
031935,NORTH COUNTRY COMMUNITY HEALTH CTR.,1120 W UNIVERSITY AVENUE,,FLAGSTAFF,AZ,86001,COCONINO
031936,UCHC @ GREEN VALLEY HOSPITAL,4475 S I-19 FRONTAGE ROAD  STE 139,,GREEN VALLEY,AZ,85614-5884,PIMA
031937,SUNSET COMMUNITY HEALTH CENTER  INC,675 S AVENUE B,,YUMA,AZ,85364,YUMA
031938,MCHC - TUBAC,2239 E. FRONTAGE ROAD,,TUBAC,AZ,85648,SANTA CRUZ
031939,CALAVAR FAMILY HEALTH CENTER,2500 W UTOPIA RD  STE 100,,PHOENIX,AZ,85027-4172,MARICOPA
031940,DOVE MOUNTAIN HEALTH CENTER,5224 W DOVE CENTRE ROAD,188,MARANA,AZ,85658,PIMA
031941,ADELANTEHEALTHCARE PEORIA,15525 N. 83RD AVENUE  SUITE 104,,PEORIA,AZ,85382-5820,MARICOPA
031943,ADELANTE HEALTHCARE CENTRAL PHOENIX,500 W. THOMAS RD.  SUITE 870,,PHOENIX,AZ,85013-4218,MARICOPA
031945,EL RIO SANTA CRUZ NEIGHBORHOOD HEALT,1 W BROADWAY BLVD,,TUCSON,AZ,85701,PIMA
031946,CHIRICAHUA COMMUNITY HEALTH CENTERS,1205 F AVENUE,,DOUGLAS,AZ,85607,COCHISE
031947,SUN LIFE FAMILY HEALTH CENTER,44765 W HATHAWAY AVE,,MARICOPA,AZ,85139,PINAL
031948,COPPERWOOD HEALTH CENTER,6677 W THUNDERBIRD RD STE 124,,GLENDALE,AZ,85306,MARICOPA
031949,MIDTOWN HEALTH CENTER,3330 N 2ND ST  STE 500,,PHOENIX,AZ,85012,MARICOPA
031950,CANYONLANDS H/C - GLOBE INTEGRATED,111 WEST BLAKE STREET,,GLOBE,AZ,85501,GILA
031951,NORTH COUNTRY H/C KINGMAN INTEGRATI,3505 WESTERN AVENUE SUITE,,KINGMAN,AZ,86401,MOHAVE
031952,CANYONLANDS H/C - STAFFORD INTEGRAT,1615 S. 1ST AVENUE,,SAFFORD,AZ,85548,GRAHAM
031953,NORTH COUNTRY HEALTHCARE FLAG PEDS,1501 S YALE ST SUITE 252,,FLAGSTAFF,AZ,86001,COCONINO
031955,SUN LIFE FAMILY HEALTH CENTER  INC,655 S DOBSON RD  STE 201,,CHANDLER,AZ,85224,MARICOPA
031956,SIERRA HEALTH CENTER,6206 W BELL RD STE 1,,GLENDALE,AZ,85308,MARICOPA
031957,VENADO VALLEY HEALTH CENTER,20440 N 27TH AVE STE 450,,PHOENIX,AZ,85027,MARICOPA
031958,NEIGHBORHOOD OUTREACH ACCESS TO HEAL,11130 E CHOLLA ST,,SCOTTSDALE,AZ,85259,MARICOPA
031959,DESERT SENITA COMM HLTH CTR -AZ CIT,13060 S. SUNLAND GIN ROAD,,ARIZONA CITY,AZ,85123,PINAL
031960,TERROS EAST MCDOWELL CLINIC,4909 EAST MCDOWELL ROAD,,PHOENIX,AZ,85008,MARICOPA COUNTY
031961,CHIRICAHUA COMMUNITY HEALTH CTR INC,10566 HWY 191,,ELFRIDA,AZ,85610-9021,COCHISE
031962,CHIRICAHUA COMMUNITY HEALTH CENTERS,155 CALLE PORTAL STE 300,,SIERRA VISTA,AZ,85635,COCHISE
031963,CHIRICAHUA COMMUNITY HEALTH CENTERS,108 ARIZONA ST,,BISBEE,AZ,85603-1804,COCHISE
031964,CHIRICAHUA COMMUNITY HEALTH CENTERS,155 CALLE PORTAL STE 700,,SIERRA VISTA,AZ,85635,COCHISE
031965,CHIRICAHUA COMMUNITY HEALTH CENTERS,4755 CAMPUS DR,,SIERRA VISTA,AZ,85635-2449,COCHISE
031966,NORTH COUNTRY HEALTHCARE - SHOW LOW,2650 E SHOW LOW LAKE RD SU,,SHOW LOW,AZ,85901,NAVAJO
031967,CHIRICAHUA COMMUNITY HEALTH CENTERS,815 E 15TH ST,,DOUGLAS,AZ,85607,COCHISE
031968,CIRCLE THE CITY FAMILY HEALTH CENTER,3333 E VAN BUREN ST,,PHOENIX,AZ,85008,MARICOPA
031969,CIRCLE THE CITY PROVIDER IN TRIAGE B,206 S 12TH AVE,,PHOENIX,AZ,85007,MARICOPA
031970,CIRCLE THE CITY FAMILY HEALTH CENTER,220 S 12TH AVE,,PHOENIX,AZ,85007,MARICOPA
031971,CIRCLE THE CITY AFTER HOURS CLINIC L,1125 W JACKSON ST,,PHOENIX,AZ,85007,MARICOPA
031973,CIRCLE THE CITY AFTER HOURS CLINIC C,230 S 12TH AVE,,PHOENIX,AZ,85007-3101,MARICOPA
031974,MOUNTAIN PARK HEALTH CENTER,303 E BASELINE RD,,PHOENIX,AZ,85042,MARICOPA
031975,LA CANADA PEDIATRICS,18857 S LA CANADA DR,,SAHUARITA,AZ,85629,PIMA
031976,BENSON FAMILY HEALTH CENTER,335 S OCOTILLO AVE,,BENSON,AZ,85602,COCHISE
031978,CIRCLE THE CITY MEDICAL RESPITE CENT,210 S 12TH AVE,,PHOENIX,AZ,85007-3101,MARICOPA
031979,HORIZON HEALTH AND WELLNESS INC,450 W ADAMSVILLE RD,,FLORENCE,AZ,85132,PINAL
031980,HORIZON HEALTH AND WELLNESS INC,115 W 2ND ST,,CASA GRANDE,AZ,85122,PINAL
031981,MHC ORO VALLEY PEDIATRICS,1856 E INNOVATION PARK DR,188,ORO VALLEY,AZ,85755,PIMA
031982,UCHC AT LA POSADA,670 S. PARK CENTRE AVE,,GREEN VALLEY,AZ,85614-2132,PIMA
031983,ADELANTE HEALTHCARE GOODYEAR,13471 W CORNERTONE BLVD,,GOODYEAR,AZ,85395,MARICOPA
031988,CREEK VALLEY HEALTH CLINIC,20 S COLVIN ST,418,COLORADO CITY,AZ,86021,MOHAVE
041801,LEE COUNTY COOPERATIVE CLINIC,508 JACKSON STREET,,MADISON,AR,72359,ST. FRANCIS
041804,EAST ARKANSAS FAMILY HEALTH CENTER,900 N 7TH STREET,,WEST MEMPHIS,AR,73201,CRITTENDEN
041805,PORTLAND HEALTHCARE CENTER,223 NORTH MAIN,,PORTLAND,AR,71663,ASHLEY
041810,MID-DELTA HEALTH SYSTEMS  INC.,401 MIDLAND,,CLARENDON,AR,72029,MONROE
041812,ARCARE 40,100 E FRONT STREET,,HAZEN,AR,72064,PRARIE
041818,JEFFERSON COMPREHENSIVE CARE SYSTEM,1101 TENNESSEE STREET,,PINE BLUFF,AR,71613,JEFFERSON
041823,CABUN RURAL HEALTH SERVICES,150 SCHOOL STREET,,BEARDEN,AR,71720,OUACHITA
041832,1ST CHOICE HEALTHCARE  INC.,1300 CREASON ROAD,,CORNING,AR,72422,CLAY
041833,BOSTON MOUNTAIN RURAL HEALTH CENTER,HWY 27 SOUTH,1030,MARSHALL,AR,72650,SEARCY
041850,HEALTHY CONNECTIONS  INC.,136 HEALTH PARK DR,1848,MENA,AR,71953,POLK
041855,RIVER VALLEY PRIMARY CARE SERVICES,9755 WEST STATE HWY 22,130,RATCLIFF,AR,72951,LOGAN
041858,ST. FRANCIS HOUSE  NWA  INC,614 EAST EMMA AVE  STE #300,,SPRINGDALE,AR,72764,WASHINGTON
041904,GEORGE ELEMENTARY SBHC,2878 POWELL STREET,,SPRINGDALE,AR,72764,WASHINGTON
041905,BEE BRANCH CLINIC,326 SOUTHSIDE ROAD,,BEE BRANCH,AR,72013,VAN BUREN
041907,HCI - HOT SPRINGS,102 CHIPPEWA COURT,,HOT SPRINGS,AR,71901,GARLAND
041908,1ST CHOICE HEALTHCARE  INC.,2210 W KINGSHIGHWAY,,PARAGOULD,AR,72450,GREENE
041909,COMMUNITY CLINIC FAYETTEVILLE MEDICA,3162 MARTIN LUTHER KING BLVD,STE. #13,FAYETTEVILLE,AR,72704,WASHINGTON
041910,EARLE FAMILY HEALTH CENTER,216 ARKANSAS ST,,EARLE,AR,72331,CRITTENDEN
041911,ARCARE 88,11219 FINANCIAL CT PKY,,LITTLE ROCK,AR,72211,PULASKI
041912,EAST TEXAS BORDER HEALTH CLINIC,1205 EAST 35TH STREET,,TEXARKANA,AR,71854,MILLER
041914,BOSTON MOUNTAIN RURAL HEALTH CENTER,609 WEST CLARK ST,,JASPER,AR,72641,NEWTON
041915,HEALTHY CONNECTIONS MALVERN,1517 S MAIN STREET,,MALVERN,AR,72704,HOT SPRING
041916,ALL FOR KIDS CLINIC,300 E 6TH STREET,,TEXARKANA,AR,71854,MILLER
041917,PORTLAND ELEMENTARY CLINIC,314 HIGHWAY 160 EAST,,PORTLAND,AR,71663,ASHLEY
041918,HAMBURG ELEMENTARY CLINIC,206 SOUTH BARTLETT,,HAMBURG,AR,71646,ASHLEY
041919,HAMBURG HIGH SCHOOL CLINIC,1119 S MAIN STREET,,HAMBURG,AR,71646,ASHLEY
041920,ARCARE 59,416 E WASHINGTON ST,,JONESBORO,AR,72401,CRAIGHEAD
041921,STAR CITY COMMUNITY HEALTH CENTER,110 N. DREW STREET,,STAR CITY,AR,71667,LINCOLN
041922,DERMOTT SCHOOL CLINIC,525 E SPEEDWAY STREET,,DERMOTT,AR,71638,CHICOT
041923,STAR CITY HIGH SCHOOL CLINIC,206 CLEVELAND STREET,,STAR CITY,AR,71667,LINCOLN
041924,ARCARE 87,1127 MAIN ST,,VILONIA,AR,72006,FAULKNER
041925,NORTH LITTLE ROCK COMMUNITY HEALTH,2525 WILLOW,SUITE 1,LITTLE ROCK,AR,72114,PULASKI
041926,JIMMY BROWN ELEMENTARY,310 ASHLEY STREET,,STAR CITY,AR,71667,LINCOLN
041927,EAFHC - ASU MIDSOUTH,2000 WEST BROADWAY STREET  TRLR 1,,WEST MEMPHIS,AR,72301,CRITTENDEN
041928,1ST CHOICE HEALTHCARE - SALEM,172 HIGHWAY 62 W,,SALEM,AR,72576,FULTON
041929,BOSTON MOUNTAIN RURAL HEALTH CENTER,1094 CATHOLIC POINT ROAD,,CENTER RIDGE,AR,72027,CONWAY
041930,BOSTON MOUNTAIN RURAL HEALTH CENTER,322 DOGWOOD HOLLOW ROAD,,MOUNTAIN VIEW,AR,72560,
041931,ARKADELPHIA CLINIC,3034 PINE STREET,,ARKADELPHIA,AR,71923,CLARK
041932,HEALTHY CONNECTIONS DEQUEEN,1357 W COLLIN RAYE DRIVE,,DEQUEEN,AR,71832,SEVIER
041933,EUDORA ELEMENTARY CLINIC,566 S MABRY STREET,,EUDORA,AR,71640,CHICOT
041934,LAKESIDE SCHOOL,360A W HIGHWAY 82,,LAKE VILLAGE,AR,71653,CHICOT
041935,DREW CENTRAL SCHOOL,250 UNIVERSITY DRIVE,,MONTICELLO,AR,71655,DREW
041936,EAFHC- MARVELL,1008 WEST MAIN STREET,,MARVELL,AR,72366,PHILLIPS
041937,BOSTON MOUNTAIN RURAL HEALTH CENTER,1 PARK DRIVE  SUITE C,,HOLIDAY ISLAND,AR,72631,CARROLL
041938,ARCARE 64,305 RODGERS DRIVE,,SEARCY,AR,72143,WHITE
041939,HEALTHY CONNECTIONS  INC.,3604 CENTRAL AVE  STE D,,HOT SPRINGS,AR,71913,GARLAND
041940,WALDRON FAMILY CLINIC,2074 RICE ROAD,,WALDRON,AR,72958,SCOTT
041941,MARION SCHOOL DISTRICT SC,1 PATRIOT DRIVE,,MARION,AR,72364,CRITTENDEN
041942,ARCARE 120,908 EDMONDS AVE,,MCCRORY,AR,72101,WOODRUFF
041943,MARVELL-ELAINE SCHOOL BASED HEALTH C,1018 US 49,,MARVELL,AR,72366,PHILLIPS
041944,ARCARE 111,1400 BRADEN ST #1,,JACKSONVILLE,AR,72076,PULASKI
041945,HAMBURG MIDDLE SCHOOL,1109 CUB DRIVE,,HAMBURG,AR,71646,ASHLEY
041946,GENESIS PRIME CARE,4077 JEFFERSON AVENUE,,TEXARKANA,AR,71854,MILLER
041947,BOSTON MOUNTAIN - HARRISON,1002 NORTH SPRING ST,,HARRISON,AR,72601,BOONE
041948,CLARKSVILLE COMMUNITY HEALTH CENTER,708 WEST MAIN STREET,,CLARKSVILLE,AR,72830,JOHNSON
041949,ARCARE,630 W SOUTH STREET,,BENTON,AR,72015,SALINE
041951,HEALTHY CONNECTIONS  INC.,1 COLLEGE CIR,,MALVERN,AR,72104,HOT SPRINGS
041953,MAINLINE RISON,505 SYCAMORE ST,,RISON,AR,71665,CLEVELAND
041955,LAVACA WELLNESS CENTER,603 SOUTH DIVISION STREET,041955,LAVACA,AR,72941,SEBASTIAN
051000,TENDERLOIN HEALTH SERVICES,330 ELLIS STREET,,SAN FRANCISCO,CA,94102,SAN FRANCISCO
051001,OLE HEALTH,1100 TRANCAS STREET  SUITE 300,,NAPA,CA,94558,NAPA
051003,COMMUNICARE HEALTH CENTERS,2051 JOHN JONES ROAD,,DAVIS,CA,95616,YOLO
